interval_qps l0_files total_mem_size pending_bytes
0.0 9 130.03 7.21
0.0 10 65.02 7.34
62.25 7 130.03 7.34
62.26 8 130.03 7.47
0.0 8 130.03 7.47
9.63 6 75.07 7.6
52.63 6 130.03 7.6
62.26 7 130.03 7.73
62.25 8 130.03 7.86
62.25 9 130.03 7.99
0.0 9 130.03 7.99
25.98 7 92.15 8.11
77.27 8 107.84 8.24
21.17 8 130.03 8.24
62.25 9 130.03 8.37
62.26 10 130.03 8.5
0.0 10 130.03 8.5
62.25 8 130.03 8.63
62.25 9 130.03 8.76
0.0 9 130.03 8.76
0.0 9 130.03 8.76
0.0 9 130.03 8.76
0.0 9 130.03 8.76
0.03 10 65.05 8.89
62.22 10 130.03 8.89
54.76 8 122.2 9.02
17.3 6 75.28 9.13
52.42 6 130.03 9.13
0.0 6 130.03 9.13
0.0 6 130.03 9.13
0.0 7 65.02 9.26
62.25 7 130.03 9.26
62.26 5 130.03 9.31
40.83 6 107.66 9.44
21.42 6 130.03 9.44
62.25 7 130.03 9.57
0.0 7 130.03 9.57
0.0 7 130.03 9.43
62.25 5 130.03 9.11
62.25 6 130.03 9.24
62.25 7 130.03 9.38
62.25 8 130.03 9.51
62.25 9 130.03 9.64
62.26 10 130.03 9.77
0.0 10 130.03 9.77
0.0 10 130.03 9.77
62.25 8 130.03 9.9
62.26 9 130.03 10.03
62.26 10 130.03 10.16
0.0 10 130.03 10.16
0.0 10 130.03 10.16
62.25 8 130.03 10.28
62.26 9 130.03 10.41
62.26 10 130.03 10.54
62.25 11 130.03 10.67
0.0 11 130.03 10.67
0.0 12 65.01 10.8
71.29 10 74.45 10.93
53.7 11 65.51 11.06
61.79 11 130.03 11.06
0.0 11 130.03 11.06
0.0 11 130.03 11.06
0.0 11 130.03 11.06
0.0 11 130.03 11.06
0.0 12 65.02 11.19
62.26 12 130.03 11.19
44.03 10 111.0 11.32
18.15 10 130.03 11.32
0.0 10 130.03 11.32
62.26 8 130.03 11.45
62.25 9 130.03 11.58
62.25 10 130.03 11.71
62.25 11 130.03 11.84
0.0 11 130.03 11.84
0.0 11 130.03 11.84
62.25 9 130.03 11.97
62.25 10 130.03 12.1
62.25 11 130.03 12.23
62.25 12 130.03 12.36
0.0 12 130.03 12.36
0.0 12 130.03 12.36
62.26 10 130.03 12.49
62.26 11 130.03 12.61
62.26 12 130.03 12.74
0.0 12 130.03 12.74
0.0 12 130.03 12.74
0.0 12 130.03 12.74
0.0 12 130.03 12.74
0.0 13 65.02 12.87
62.26 13 130.03 12.87
0.0 13 130.03 12.87
62.26 11 130.03 13.0
0.0 11 130.03 13.0
62.25 9 130.03 13.13
62.25 10 130.03 13.26
62.25 11 130.03 13.39
62.26 12 130.03 13.52
0.0 12 130.03 13.52
62.25 10 130.03 13.65
62.25 11 130.03 13.78
62.25 12 130.03 13.9
62.26 13 130.03 14.03
0.0 13 130.03 14.03
0.0 13 130.03 14.03
5.17 14 70.42 14.16
57.08 11 130.03 14.16
62.26 12 130.03 14.29
0.0 12 130.03 14.29
0.0 12 130.03 14.29
0.0 12 130.03 14.29
0.0 12 130.03 14.29
0.0 13 65.02 14.42
62.25 13 130.03 14.42
62.25 11 130.03 14.55
62.25 12 130.03 14.68
0.0 12 130.03 14.68
0.0 12 130.03 14.68
49.25 13 116.46 14.81
75.25 11 130.03 14.93
62.25 12 130.03 15.06
62.25 13 130.03 15.19
0.0 13 130.03 15.19
0.0 13 130.03 15.19
62.25 11 130.03 15.32
62.25 12 130.03 15.45
62.25 8 130.03 15.51
0.0 8 130.03 15.51
62.25 9 130.03 15.64
0.0 9 130.03 15.64
0.0 9 130.03 15.64
