interval_qps l0_files total_mem_size pending_bytes
8.11 22 28.58 65.75
8.14 22 37.08 65.75
8.14 22 45.58 65.75
8.13 22 54.07 65.75
8.14 22 62.57 65.75
40.14 1 39.48 62.81
300.24 5 92.98 66.79
319.39 10 101.46 67.76
280.07 15 68.98 68.71
39.23 16 44.93 68.84
48.63 17 30.7 68.85
64.03 18 32.55 68.92
8.13 18 41.04 68.8
58.37 19 36.98 68.82
58.06 20 32.6 68.95
8.12 20 41.08 68.72
8.12 20 49.55 68.56
8.12 20 58.04 68.5
7.88 21 1.26 68.5
7.79 21 9.39 68.13
8.11 21 17.86 67.93
8.11 21 26.34 67.71
8.11 21 34.8 67.37
8.11 21 43.27 67.02
8.1 21 51.73 66.7
8.11 21 60.2 66.44
7.66 22 3.18 66.37
8.14 22 11.68 66.37
8.13 22 20.17 66.37
8.14 22 28.67 66.37
8.13 22 37.16 66.37
8.14 22 45.66 66.37
259.52 4 56.63 67.16
334.4 9 80.79 68.14
185.48 12 79.65 68.67
28.75 13 44.66 68.8
54.04 14 36.08 68.8
61.98 15 35.79 68.8
61.13 16 34.62 68.93
49.28 16 86.09 68.7
17.23 17 39.06 68.82
59.96 18 36.67 68.83
58.49 19 32.73 68.96
8.11 19 41.2 68.72
51.78 20 30.26 68.74
8.1 20 38.72 68.47
8.11 20 47.18 68.16
8.11 20 55.65 67.85
8.11 20 64.12 67.62
7.46 21 6.9 67.52
8.1 21 15.36 67.2
8.11 21 23.83 66.88
8.12 21 32.3 66.78
8.11 21 40.77 66.45
8.11 21 49.24 66.13
8.12 21 57.72 65.91
7.88 22 0.94 66.16
5.21 22 6.38 66.16
5.2 22 11.81 66.16
5.21 22 17.25 66.16
179.41 3 74.59 63.13
324.88 8 88.81 67.59
326.85 14 40.07 68.82
63.55 15 41.42 68.83
8.13 15 49.91 68.73
48.86 16 35.93 68.75
61.35 17 34.99 68.82
61.53 18 34.24 68.9
8.13 18 42.73 68.78
68.15 19 48.89 68.8
46.14 20 32.06 68.92
8.11 20 40.53 68.69
8.11 20 49.0 68.46
8.11 20 57.47 68.16
7.92 20 65.75 67.85
7.04 21 8.09 67.77
8.11 21 16.56 67.55
8.11 21 25.03 67.21
8.11 21 33.5 67.0
8.11 21 41.97 66.78
8.14 21 50.47 66.78
8.13 21 58.96 66.78
7.45 22 1.73 67.03
5.2 22 7.16 67.03
192.51 3 78.19 64.0
324.82 8 92.34 68.46
133.08 11 36.43 68.96
8.11 11 44.89 68.73
49.26 12 31.31 68.81
64.02 13 33.15 68.93
33.25 13 67.88 68.69
34.51 14 38.9 68.82
