interval_qps l0_files total_mem_size pending_bytes
150.41 10 77.38 32.47
277.0 9 106.81 32.91
270.6 14 64.33 33.56
237.39 18 52.19 34.0
189.86 11 55.42 34.44
263.69 12 70.75 35.02
216.32 12 101.62 35.34
281.47 17 70.51 36.1
279.05 17 102.11 36.64
236.8 16 89.36 37.29
259.82 18 35.79 38.16
274.6 19 62.51 38.7
213.68 19 90.63 39.02
283.35 15 61.48 38.04
285.58 19 99.68 38.38
255.3 19 41.22 39.03
67.97 20 47.19 38.82
8.1 20 55.64 38.4
8.08 20 64.09 37.95
7.15 21 6.54 37.83
199.23 18 84.58 37.93
91.87 20 50.49 37.91
179.47 20 42.87 38.23
8.08 20 51.3 37.88
8.12 20 59.78 37.76
7.16 21 2.25 37.98
153.01 19 97.03 38.2
7.48 20 39.82 38.43
84.32 6 62.87 36.13
236.24 10 49.54 36.42
250.26 14 50.9 36.46
257.53 18 59.79 36.32
100.32 20 34.53 35.78
8.06 20 42.95 35.07
107.29 6 89.99 34.8
275.74 11 52.88 35.42
274.8 15 79.81 35.9
223.17 19 52.82 36.38
96.75 10 88.84 36.38
182.07 10 83.95 36.73
182.95 10 79.98 36.96
194.06 8 87.6 37.06
266.17 12 105.53 37.47
283.62 17 76.75 38.11
163.14 20 52.29 38.38
199.63 12 65.74 38.66
205.78 11 85.6 38.9
230.02 15 65.76 39.24
251.88 19 68.76 39.69
41.52 20 47.11 39.6
43.42 10 27.44 39.49
189.93 12 95.76 39.42
243.43 13 89.93 40.01
243.02 14 83.68 40.56
252.77 7 87.59 40.71
255.84 11 94.72 40.88
195.22 15 38.54 41.26
256.8 19 46.67 41.67
58.09 20 42.32 41.57
128.38 10 46.37 41.46
236.79 14 33.6 41.8
276.14 18 61.92 42.25
105.49 20 42.07 42.27
18.2 10 61.07 42.03
179.53 13 53.53 42.37
202.79 16 70.26 42.58
284.7 16 107.52 43.13
279.98 18 74.93 43.91
239.37 18 65.09 44.69
268.04 9 85.22 44.66
281.07 14 53.87 45.33
259.29 18 64.61 45.69
111.12 20 50.63 45.56
40.15 8 92.57 45.23
219.0 12 61.22 45.63
275.92 16 89.32 45.97
201.07 20 39.24 46.41
8.09 20 47.69 46.2
180.83 14 41.49 46.52
269.75 15 63.15 47.07
281.82 15 97.41 47.59
267.04 20 51.22 48.48
242.06 20 43.95 49.03
202.38 19 60.27 49.36
221.38 19 96.43 49.69
150.26 10 58.44 49.53
268.7 14 79.0 50.04
263.42 18 94.04 50.09
86.98 20 54.84 49.84
8.08 20 63.28 49.38
210.64 11 88.22 49.72
280.06 16 55.63 50.42
232.38 20 38.25 51.06
258.96 11 48.65 51.74
283.04 15 84.17 52.19
267.03 20 37.97 52.64
8.1 20 46.42 52.24
8.07 20 54.86 51.71
8.08 20 63.3 51.26
7.99 21 6.63 51.14
64.46 12 73.95 50.91
185.72 15 72.86 51.12
269.53 16 94.29 51.67
195.63 20 38.54 52.33
247.85 20 37.32 52.88
185.92 20 36.44 53.19
153.24 8 66.45 52.63
281.66 13 35.53 53.34
264.01 17 51.18 53.63
171.79 20 35.54 53.53
8.05 20 43.95 52.74
8.05 20 52.35 52.17
8.07 20 60.78 51.68
7.58 21 3.69 51.49
219.81 9 103.23 51.51
288.64 14 79.59 52.29
270.21 14 101.73 52.82
226.33 11 78.15 53.38
273.88 15 104.12 53.83
254.2 20 44.52 54.5
8.07 20 52.94 53.94
8.06 20 61.36 53.37
7.5 21 4.18 53.19
8.09 21 12.63 52.76
8.07 21 21.05 52.16
8.09 21 29.5 51.68
8.09 21 37.95 51.19
8.09 21 46.4 50.82
150.78 3 73.84 50.67
288.58 8 50.15 51.56
271.84 12 73.98 51.78
267.61 16 93.4 51.98
207.98 20 50.54 52.42
8.03 20 58.93 51.74
7.65 21 1.91 51.46
7.81 21 10.06 50.84
8.08 21 18.5 50.41
8.07 21 26.93 49.96
98.92 3 65.22 49.8
275.5 7 92.87 50.42
268.02 12 47.7 51.02
275.1 16 75.0 51.5
225.37 20 50.3 52.09
8.11 20 58.77 51.85
225.4 10 99.12 52.21
274.57 9 60.8 52.86
273.06 9 85.93 53.48
266.81 13 104.52 53.9
279.98 18 71.94 54.63
156.51 10 105.37 54.83
276.16 10 68.69 55.54
278.85 14 99.84 55.99
261.21 19 47.69 56.66
59.42 20 44.73 56.56
8.1 20 53.19 56.34
162.82 11 28.18 56.67
240.27 11 84.06 56.99
283.98 13 55.55 57.9
277.25 17 85.04 58.45
268.05 17 104.92 59.04
276.82 11 68.95 59.73
275.1 15 96.18 60.11
255.62 20 38.2 60.67
8.06 20 46.61 60.1
8.09 20 55.06 59.77
19.08 6 74.99 59.44
235.44 10 60.82 60.0
276.36 14 89.37 60.57
286.61 19 63.61 61.43
195.43 12 72.67 61.89
285.54 13 46.03 62.69
206.26 16 66.39 62.79
221.13 20 37.27 63.24
8.09 20 45.72 62.8
8.09 20 54.16 62.35
8.07 20 62.6 61.89
7.51 21 5.43 61.66
8.09 21 13.88 61.19
8.09 21 22.33 60.82
8.09 21 30.78 60.35
8.11 21 39.24 59.98
8.1 21 47.7 59.61
179.65 3 105.28 59.39
266.23 8 58.23 59.99
252.18 12 61.53 60.2
256.64 16 69.5 60.39
228.33 20 47.88 60.81
8.05 20 56.29 60.22
8.04 20 64.69 59.51
7.56 21 7.57 59.26
8.1 21 16.02 58.87
8.07 21 24.45 58.48
175.58 4 77.79 58.44
268.53 8 98.17 58.93
280.65 13 66.19 59.65
280.77 17 99.35 60.13
116.78 20 26.26 60.36
8.1 20 34.71 60.02
79.99 6 53.23 60.12
217.18 6 85.0 60.27
278.65 8 50.95 60.97
