interval_qps l0_files total_mem_size pending_bytes
5.62 24 5.46 51.96
5.2 24 10.89 51.96
189.61 3 78.88 48.69
235.74 6 130.03 52.85
209.65 10 88.92 53.65
226.13 13 130.03 54.32
221.92 17 101.73 55.11
122.24 20 34.34 55.66
8.02 20 42.72 55.57
8.12 20 51.19 55.47
8.12 20 59.68 55.37
7.38 21 2.36 55.48
6.14 21 8.78 55.39
7.56 21 16.67 55.28
8.12 21 25.16 55.18
8.12 21 33.64 55.08
8.12 21 42.12 54.97
8.12 21 50.61 54.86
8.13 21 59.1 54.86
7.49 22 1.9 54.97
5.85 22 8.01 54.85
7.09 22 15.42 54.73
8.12 22 23.89 54.62
8.13 22 32.39 54.62
8.12 22 40.87 54.5
8.0 22 49.23 53.48
7.98 22 57.56 52.42
7.83 22 65.74 51.68
5.28 23 6.24 51.92
5.21 23 11.67 51.92
5.2 23 17.11 51.92
5.2 23 22.54 51.92
5.21 23 27.98 51.92
5.2 23 33.41 51.92
5.2 23 38.84 51.92
5.2 23 44.28 51.92
100.45 2 84.16 48.68
219.53 5 118.38 52.47
187.98 8 119.66 53.16
195.41 11 128.68 53.74
204.42 15 82.11 54.54
201.0 18 96.99 55.21
96.79 21 3.17 55.78
7.04 21 10.52 55.73
7.87 21 18.74 55.62
8.13 21 27.23 55.52
8.13 21 35.71 55.42
8.12 21 44.19 55.32
8.13 21 52.68 55.22
8.14 21 61.18 55.22
6.94 22 3.41 55.33
5.75 22 9.41 55.22
7.15 22 16.88 55.12
8.13 22 25.37 55.03
8.13 22 33.85 54.91
8.12 22 42.33 54.8
8.12 22 50.81 54.72
8.12 22 59.29 54.6
7.65 23 2.27 52.95
6.51 23 9.07 52.95
6.5 23 15.86 52.95
6.5 23 22.65 52.95
6.51 23 29.45 52.95
6.51 23 36.25 52.95
6.51 23 43.05 52.95
6.5 23 49.83 52.95
6.51 23 56.63 52.95
252.18 5 59.94 53.7
252.48 9 63.56 54.5
219.67 12 97.92 55.19
178.52 15 89.32 55.76
225.74 18 130.03 56.33
67.91 21 5.9 56.9
8.12 21 14.38 56.8
8.12 21 22.86 56.7
8.13 21 31.35 56.59
8.12 21 39.83 56.49
8.13 21 48.32 56.38
8.13 21 56.8 56.38
8.06 21 65.22 56.27
6.27 22 6.75 56.38
6.87 22 13.93 56.27
8.12 22 22.41 56.2
8.12 22 30.89 56.09
8.13 22 39.38 56.09
8.13 22 47.87 55.96
8.11 22 56.34 55.78
8.13 22 64.83 55.78
7.04 23 7.16 55.9
7.06 23 14.53 55.19
8.13 23 23.03 55.19
8.13 23 31.52 55.19
8.14 23 40.02 55.19
8.13 23 48.51 55.19
8.14 23 57.01 55.19
8.03 23 65.39 55.19
5.36 24 5.97 55.43
5.2 24 11.41 55.43
96.32 1 111.99 52.11
213.13 5 74.52 56.14
193.38 8 81.42 56.83
225.12 11 121.48 57.41
235.68 15 107.56 58.21
208.19 18 130.03 58.76
66.25 21 4.18 59.42
6.97 21 11.45 59.32
7.79 21 19.59 59.21
8.12 21 28.07 59.16
8.13 21 36.56 59.06
8.13 21 45.05 58.97
8.12 21 53.52 58.86
8.14 21 62.02 58.86
6.46 22 3.75 58.97
6.25 22 10.28 58.87
7.45 22 18.06 58.76
8.12 22 26.53 58.65
8.14 22 35.03 58.65
8.1 22 43.49 58.47
8.12 22 51.97 58.36
8.13 22 60.46 58.36
7.2 23 2.97 58.48
5.43 23 8.64 58.37
6.55 23 15.48 58.28
8.13 23 23.96 58.28
8.07 23 32.39 57.79
7.94 23 40.68 56.21
8.13 23 49.18 56.21
8.13 23 57.67 56.21
7.9 23 65.92 56.21
5.42 24 6.57 56.44
5.2 24 12.0 56.44
5.21 24 17.44 56.44
5.2 24 22.87 56.44
5.21 24 28.31 56.44
159.65 2 130.03 53.16
205.46 6 84.54 57.4
230.32 9 130.03 57.99
205.89 13 84.99 58.79
202.3 16 101.22 59.37
200.18 19 115.24 60.04
18.3 21 4.32 60.32
6.52 21 11.14 60.22
8.14 21 19.63 60.22
8.12 21 28.11 60.12
8.13 21 36.6 60.01
8.11 21 45.07 59.9
8.13 21 53.56 59.8
8.13 21 62.05 59.8
6.65 22 3.98 59.91
5.62 22 9.85 59.79
