interval_qps l0_files total_mem_size pending_bytes
400.1 4 96.63 14.37
297.88 5 74.83 14.5
369.85 6 63.47 14.5
383.09 6 119.04 14.5
207.9 7 84.1 14.56
284.19 8 60.3 14.69
366.53 8 113.47 14.69
361.74 9 100.91 14.69
250.72 10 72.27 14.82
357.16 11 59.07 14.95
319.77 11 105.46 14.83
347.55 12 90.86 14.95
436.41 13 88.96 14.96
283.11 14 65.01 15.08
371.93 15 53.96 15.21
353.15 16 40.18 15.21
361.35 16 92.55 15.21
389.41 17 84.03 15.34
366.4 18 72.17 15.34
380.8 18 127.41 15.34
394.74 20 54.65 15.6
29.36 20 58.91 15.6
35.7 20 64.09 15.48
30.31 21 3.48 15.6
23.5 21 6.89 15.6
28.17 21 10.97 15.48
29.38 21 15.23 15.48
31.34 21 19.78 15.36
36.72 21 25.1 15.36
36.72 21 30.43 15.36
40.97 21 36.38 15.23
45.87 21 43.03 15.23
45.94 21 49.69 15.23
50.56 21 57.03 15.11
55.04 21 65.01 15.11
47.37 22 6.87 15.24
37.9 22 12.37 15.11
45.93 22 19.04 15.11
45.88 22 25.69 15.11
45.87 22 32.34 15.11
56.17 22 40.49 14.99
57.4 22 48.82 14.99
58.32 22 57.28 14.88
61.81 22 66.25 14.88
48.8 23 8.32 15.01
40.98 23 14.26 15.01
45.59 23 20.87 14.89
51.29 23 28.31 14.89
51.2 23 35.74 14.89
51.27 23 43.18 14.89
51.26 23 50.62 14.89
51.2 23 58.04 14.89
50.54 23 65.38 14.89
40.27 24 6.2 15.02
32.8 24 10.96 15.02
32.76 24 15.72 15.02
32.8 24 20.47 15.02
32.78 24 25.23 15.02
32.81 24 29.99 15.02
32.79 24 34.74 15.02
32.81 24 39.5 15.02
32.77 24 44.26 15.02
32.81 24 49.02 15.02
32.79 24 53.77 15.02
32.8 24 58.53 15.02
32.8 24 63.29 15.02
25.28 24 66.96 15.02
24.6 25 5.51 15.15
20.99 25 8.56 15.15
20.97 25 11.6 15.15
20.99 25 14.64 15.15
20.98 25 17.69 15.15
20.99 25 20.73 15.15
20.99 25 23.78 15.15
111.83 2 40.0 11.89
379.48 2 95.05 11.89
402.14 3 88.37 11.89
398.52 4 81.17 14.95
389.53 5 72.67 15.08
361.08 6 60.04 15.21
338.71 6 109.11 15.08
312.62 7 89.45 15.21
385.57 8 80.37 15.34
350.34 9 66.13 15.47
396.58 10 58.64 15.47
286.51 11 35.19 15.6
346.41 11 85.44 15.6
384.65 12 76.22 15.61
370.89 13 65.01 15.74
304.98 14 44.25 15.87
384.72 14 100.05 15.74
321.46 15 81.67 15.87
326.19 16 63.98 16.0
381.12 16 119.27 15.87
342.27 18 38.89 16.13
372.44 18 92.93 16.13
332.16 19 76.1 16.13
258.38 20 48.57 16.25
29.38 20 52.83 16.25
30.79 20 57.3 16.13
36.73 20 62.62 16.13
32.62 20 67.36 16.13
25.98 21 6.11 16.26
27.14 21 10.05 16.13
29.37 21 14.31 16.13
29.37 21 18.57 16.13
32.18 21 23.24 16.01
36.74 21 28.57 16.01
36.73 21 33.9 16.01
39.88 21 39.68 15.89
45.93 21 46.35 15.89
45.88 21 53.0 15.89
49.23 21 60.15 15.77
52.59 21 67.78 15.77
41.8 22 8.83 15.89
36.71 22 14.15 15.89
43.3 22 20.43 15.77
45.9 22 27.09 15.77
45.94 22 33.76 15.77
51.75 22 41.26 15.64
57.44 22 49.6 15.64
57.36 22 57.92 15.64
58.86 22 66.46 15.51
47.26 23 8.3 15.64
40.98 23 14.24 15.64
