interval_qps l0_files total_mem_size pending_bytes
7.92 22 65.85 44.56
6.32 23 7.43 44.67
6.51 23 14.23 44.67
6.5 23 21.02 44.67
7.97 23 29.35 44.56
8.13 23 37.84 44.56
8.12 23 46.32 44.46
8.12 23 54.8 44.42
8.14 23 63.3 44.42
6.6 24 5.18 44.63
6.45 24 11.91 44.53
6.5 24 18.7 44.53
6.62 24 25.62 44.42
8.13 24 34.11 44.42
8.14 24 42.61 44.42
8.12 24 51.09 44.31
8.13 24 59.57 44.31
7.54 24 67.45 44.31
6.5 25 9.23 44.41
6.51 25 16.03 44.41
7.3 25 23.65 44.3
8.13 25 32.15 44.3
8.12 25 40.63 44.19
8.14 25 49.12 44.19
8.13 25 57.61 44.19
7.9 25 65.87 44.08
5.84 26 6.95 44.3
5.6 26 12.8 43.99
8.14 26 21.3 43.99
8.06 26 29.72 43.49
8.12 26 38.2 43.49
8.03 26 46.58 42.6
8.11 26 55.06 42.43
8.12 26 63.53 42.28
6.73 27 5.55 42.5
5.2 27 10.99 42.5
5.21 27 16.43 42.5
5.2 27 21.86 42.5
5.2 27 27.29 42.5
5.21 27 32.73 42.5
5.2 27 38.17 42.5
5.2 27 43.6 42.5
5.2 27 49.03 42.5
5.2 27 54.47 42.5
5.21 27 59.9 42.5
4.89 27 65.01 42.5
4.1 28 4.28 42.72
3.33 28 7.75 42.72
3.33 28 11.23 42.72
3.33 28 14.71 42.72
3.33 28 18.19 42.72
3.33 28 21.67 42.72
3.33 28 25.15 42.72
3.33 28 28.62 42.72
3.33 28 32.1 42.72
3.33 28 35.58 42.72
90.44 2 130.03 38.86
62.25 3 130.03 38.86
62.25 4 130.03 43.07
82.69 6 86.36 43.41
104.08 7 130.03 43.62
62.25 8 130.03 43.84
74.58 10 77.9 44.17
97.36 11 114.55 44.38
77.08 12 130.03 44.6
62.25 13 130.03 44.71
100.3 15 104.75 45.14
86.36 16 130.03 45.35
62.25 17 130.03 45.46
78.77 19 82.27 45.88
47.05 20 66.4 46.09
4.36 21 5.93 46.2
4.66 21 10.8 46.2
4.7 21 15.71 46.09
5.83 21 21.8 46.09
5.83 21 27.89 46.09
6.84 21 35.03 45.99
7.28 21 42.64 45.99
7.58 21 50.56 45.88
8.13 21 59.05 45.88
7.64 21 67.03 45.88
6.5 22 8.81 45.99
6.5 22 15.6 45.99
6.5 22 22.39 45.99
