interval_qps l0_files total_mem_size pending_bytes
77.93 18 130.03 50.46
117.92 16 123.16 50.77
68.83 17 130.03 50.98
108.59 16 113.4 51.3
148.9 19 73.86 51.73
116.04 17 130.03 51.93
124.5 19 130.03 52.24
6.67 21 6.97 52.47
55.58 17 65.02 52.47
163.3 19 105.53 52.78
27.42 21 4.14 53.01
6.5 21 10.93 53.01
176.29 19 130.03 53.12
6.06 21 6.33 53.44
7.82 21 14.5 53.34
76.56 18 94.45 53.34
97.44 20 66.18 53.66
9.78 21 11.38 53.68
51.36 18 65.02 53.59
126.81 21 2.4 54.11
7.69 21 10.43 54.02
8.13 21 18.92 53.93
8.13 21 27.41 53.93
8.12 21 35.89 53.93
45.31 8 83.21 53.46
144.41 10 103.99 52.51
149.45 13 65.02 51.98
125.73 15 66.3 52.2
123.28 16 130.03 52.22
98.29 18 102.64 52.63
90.91 20 67.55 52.86
8.63 21 11.56 52.88
8.81 21 20.76 52.79
8.13 21 29.25 52.79
96.5 13 65.02 52.9
133.74 15 74.66 53.13
122.06 17 72.11 53.54
179.97 19 130.03 53.76
3.12 20 68.27 53.87
137.02 18 81.34 54.28
108.88 16 130.03 54.4
124.51 18 130.03 54.71
88.7 17 92.64 55.03
160.31 19 130.03 55.35
6.71 21 7.01 55.58
118.1 19 65.34 55.78
65.86 20 69.1 55.9
8.1 21 12.54 55.92
162.24 18 116.96 56.03
78.3 21 3.7 56.55
6.5 21 10.49 56.55
8.04 21 18.89 56.46
2.57 21 21.57 56.46
95.7 14 121.52 56.44
87.78 16 83.16 56.85
107.13 17 130.03 56.87
124.51 19 130.03 57.28
4.26 21 4.45 57.51
49.11 17 55.75 57.42
171.35 19 104.67 57.64
31.93 18 7.99 57.95
179.12 19 130.03 58.16
7.23 21 7.55 58.38
55.03 18 65.02 58.29
124.51 19 130.03 58.49
5.46 21 5.7 58.71
7.34 21 13.36 58.53
157.42 19 112.75 58.64
22.55 21 6.27 58.96
8.04 21 14.66 58.77
8.13 21 23.15 58.77
8.13 21 31.64 58.77
16.24 17 48.6 58.76
155.26 19 80.72 59.08
51.31 21 4.28 59.31
37.96 17 43.92 59.31
197.27 19 119.91 59.57
36.29 18 27.78 59.88
160.17 19 130.03 60.09
5.32 21 5.56 60.31
43.16 18 50.64 60.31
139.17 20 65.95 60.63
8.62 21 9.93 60.64
142.71 19 93.97 60.85
40.06 21 5.77 61.26
4.83 21 10.82 61.26
141.25 19 93.32 61.45
75.47 18 42.11 61.86
149.64 21 3.34 62.48
192.35 9 74.19 57.77
115.73 11 65.01 58.18
131.79 13 72.62 58.5
117.22 14 130.03 58.52
124.51 16 130.03 58.74
186.76 19 130.03 59.17
6.26 21 6.53 59.49
8.13 21 15.02 59.49
172.37 13 130.03 59.69
124.51 15 130.03 59.91
87.49 14 91.37 60.23
161.52 16 130.03 60.45
