interval_qps l0_files total_mem_size pending_bytes
377.83 7 74.56 15.66
241.28 8 44.55 16.03
292.95 9 22.04 16.21
368.78 4 75.54 16.08
372.1 5 64.51 16.07
377.36 6 54.24 16.43
383.22 7 44.82 16.78
336.32 8 28.59 17.13
21.96 8 31.77 17.13
207.83 8 61.92 17.02
343.92 8 111.82 17.02
192.63 10 9.73 17.58
308.02 10 54.42 17.58
313.05 10 99.83 17.58
328.66 7 82.48 17.32
364.2 8 70.31 14.76
380.9 4 60.55 15.03
382.72 5 51.07 15.31
379.08 6 41.04 15.48
367.29 7 29.32 15.74
366.5 8 17.47 16.0
288.91 8 59.38 16.0
354.18 8 110.75 16.0
361.9 3 98.24 16.23
321.74 4 79.9 16.11
367.88 5 68.25 16.07
376.74 6 57.89 16.44
383.44 7 48.51 16.8
335.76 8 32.21 17.15
7.26 8 33.26 17.15
313.19 8 78.69 17.15
121.97 9 31.37 17.5
160.69 9 54.57 17.5
315.26 9 100.31 17.5
328.93 7 83.01 17.39
333.71 8 66.41 16.82
376.6 9 56.03 15.52
366.55 10 44.18 14.83
375.18 3 33.57 15.13
376.13 4 23.12 15.4
374.57 4 77.46 15.29
349.05 5 63.08 15.56
344.67 6 48.07 15.82
370.09 7 36.74 16.08
340.05 8 21.06 16.33
312.22 8 66.3 16.33
372.9 4 55.39 16.51
366.88 5 43.59 16.88
375.21 6 33.02 16.74
379.01 7 22.98 17.11
375.86 7 77.51 17.11
331.22 8 60.54 17.46
353.03 9 46.75 17.81
378.71 9 101.69 17.81
290.88 7 78.87 18.15
337.38 8 62.8 18.49
375.49 9 52.26 18.83
199.3 9 81.17 18.24
312.94 10 61.56 15.62
386.99 8 52.68 16.0
384.98 4 43.52 16.28
381.06 5 33.79 16.44
377.48 6 23.54 16.71
380.91 6 78.8 16.6
376.12 7 68.35 16.86
328.84 8 51.04 17.11
360.84 8 103.39 17.07
339.92 5 22.67 17.59
329.91 5 70.5 16.97
317.5 6 51.55 17.34
353.05 7 37.75 17.0
368.51 7 91.21 17.0
337.08 8 75.09 17.04
342.52 9 59.77 17.22
372.04 10 48.73 17.37
351.53 8 34.71 17.48
314.41 8 80.32 14.64
370.27 9 69.02 15.05
377.97 10 58.83 15.45
361.92 11 46.32 15.84
346.58 9 31.59 16.23
365.66 4 19.62 16.5
368.37 4 73.06 16.3
374.26 5 62.34 16.59
382.69 6 52.85 16.76
383.94 7 43.53 17.02
328.54 8 26.18 17.28
335.38 8 74.84 17.28
350.58 8 125.69 17.28
293.29 5 38.21 17.42
278.23 5 78.58 17.29
86.48 6 26.11 17.52
215.56 6 57.38 17.52
298.75 6 100.72 17.52
345.4 7 85.82 17.65
334.22 8 69.29 17.4
369.54 8 122.9 17.4
344.13 10 42.8 15.7
329.96 10 90.66 14.53
373.81 9 14.87 15.35
360.26 9 67.13 15.35
380.23 10 57.2 15.76
379.38 5 47.22 16.05
379.39 6 37.25 16.33
339.63 7 21.39 16.6
373.99 7 75.64 16.5
306.49 8 54.99 16.76
336.59 8 103.82 16.76
218.97 3 70.57 17.03
340.61 4 54.97 16.97
347.28 5 40.34 16.53
376.64 6 29.97 16.83
349.19 6 80.62 16.83
255.38 7 52.65 17.22
171.14 7 77.48 17.22
291.17 8 54.7 17.25
233.01 8 88.5 17.25
309.16 9 68.34 16.7
379.51 9 123.4 16.7
327.74 7 105.93 17.09
351.0 9 26.83 14.95
397.17 5 19.43 14.07
