interval_qps l0_files total_mem_size pending_bytes
264.6 11 130.03 21.94
53.06 10 7.7 21.62
328.78 10 55.39 21.15
287.21 10 97.06 20.98
346.36 11 82.22 21.2
338.84 12 66.36 21.42
337.31 12 115.29 21.42
101.61 12 130.03 21.42
8.33 11 1.21 21.86
356.56 11 52.93 21.86
384.57 11 108.72 21.86
359.07 12 95.8 22.08
255.16 13 67.81 22.29
350.81 13 118.58 22.29
104.03 12 3.64 22.72
368.38 12 57.08 22.72
349.24 13 42.73 22.93
361.59 13 95.19 22.93
240.34 14 65.01 23.15
343.5 14 114.85 23.15
359.89 13 37.03 23.57
323.0 14 18.87 23.78
347.86 14 69.33 23.78
356.09 14 120.99 23.78
62.32 14 130.03 23.78
0.0 14 130.03 23.78
0.0 15 65.01 23.99
325.97 15 112.3 23.99
122.18 15 130.03 23.99
114.35 16 81.6 24.2
333.7 11 65.0 24.38
253.44 12 36.76 24.59
280.42 12 77.44 24.59
295.82 13 55.34 24.79
138.59 13 75.45 24.79
359.62 13 127.58 24.79
111.8 12 13.77 25.2
372.27 12 67.77 25.2
334.75 13 51.32 25.41
329.66 13 99.14 25.41
354.24 14 85.52 25.61
307.05 14 130.03 25.61
0.0 14 130.03 25.61
357.06 13 51.8 26.02
339.14 13 101.0 26.02
332.44 14 84.21 26.22
317.42 14 130.03 26.22
0.0 14 130.03 26.22
0.0 14 130.03 26.22
0.0 14 130.03 26.22
164.94 6 23.93 25.79
281.69 6 64.79 25.79
415.65 6 125.09 25.79
34.05 6 130.03 25.79
0.0 6 130.03 25.79
0.0 6 130.03 25.79
0.0 6 130.03 25.79
0.0 6 130.03 25.79
0.0 6 130.03 25.79
0.0 6 130.03 25.79
0.0 6 130.03 25.79
165.94 5 24.07 25.05
251.86 5 60.61 25.05
413.29 5 120.56 25.05
65.24 5 130.03 25.05
0.0 5 130.03 25.05
0.0 5 130.03 25.05
4.56 7 0.66 25.3
318.86 7 46.92 25.3
403.85 7 105.51 25.3
169.02 7 130.03 25.3
87.6 6 12.71 25.57
413.46 6 72.69 25.57
395.24 6 130.03 25.57
0.0 6 130.03 25.57
74.15 8 10.76 25.02
360.52 8 63.06 25.02
395.87 8 120.49 25.02
65.75 8 130.03 25.02
0.0 8 130.03 25.02
131.48 10 19.08 24.54
355.24 10 70.61 24.54
398.95 10 128.48 24.54
10.64 10 130.03 24.54
0.0 10 130.03 24.54
0.0 10 130.03 24.54
0.0 10 130.03 24.43
291.46 12 42.28 24.27
363.14 12 94.97 24.27
241.68 12 130.03 24.27
9.39 11 1.36 24.23
346.63 11 51.65 23.63
342.74 12 36.36 23.84
378.72 13 26.28 24.06
367.13 13 79.55 24.06
357.87 11 66.45 24.28
393.52 12 58.53 24.49
392.92 13 50.52 24.71
339.25 13 99.73 24.71
367.58 14 88.04 24.92
289.44 14 130.03 24.92
98.34 13 14.27 25.34
383.43 13 69.9 25.34
385.38 14 60.79 25.55
382.19 15 51.22 25.77
378.13 15 106.07 25.77
331.81 13 89.2 25.97
282.81 14 65.21 26.18
323.79 15 47.17 26.39
378.44 15 102.07 26.39
192.74 15 130.03 26.39
0.0 15 130.03 26.39
0.0 15 130.03 26.39
0.0 15 130.03 26.39
282.25 14 40.94 26.78
292.48 14 83.33 26.78
321.48 14 129.97 26.78
78.96 12 11.39 27.19
318.97 12 57.66 27.19
272.78 12 97.23 27.19
326.31 13 79.56 27.4
316.65 14 60.48 27.6
370.88 14 114.28 27.6
108.58 14 130.03 27.6
390.79 13 56.69 28.01
336.26 14 40.46 28.21
384.42 14 96.23 28.21
366.25 15 84.35 28.42
314.9 15 130.03 28.42
0.0 15 130.03 28.42
371.69 14 53.92 28.82
386.94 15 45.05 29.02
384.08 16 35.75 29.22
309.64 8 80.66 28.05
144.13 8 101.57 28.05
196.16 8 130.03 28.05
0.0 8 130.03 28.05
0.0 8 130.03 28.05
0.0 8 130.03 28.05
0.0 8 130.03 28.05
0.0 8 130.03 28.05
0.0 8 130.03 28.05
0.0 8 130.03 28.05
0.0 8 130.03 28.05
321.06 7 46.57 27.53
158.92 7 69.63 27.53
404.55 7 128.32 27.53
11.77 7 130.03 27.53
0.0 7 130.03 27.53
113.31 9 16.44 27.6
251.2 9 52.88 27.6
396.67 9 110.42 27.6
135.14 9 130.03 27.6
0.0 9 130.03 27.6
80.13 8 11.63 27.64
330.01 8 59.37 27.64
400.28 8 117.44 27.64
290.04 9 94.5 27.06
244.89 9 130.03 27.06
0.0 9 130.03 27.06
108.82 11 15.79 26.77
305.55 11 60.11 26.77
415.11 11 120.33 26.77
66.86 11 130.03 26.77
