interval_qps l0_files total_mem_size pending_bytes
6.5 21 17.33 31.07
5.89 21 23.48 31.07
6.51 21 30.28 31.07
95.52 18 130.03 31.07
63.65 20 66.47 31.32
8.13 20 74.97 31.32
94.22 18 108.36 31.45
83.58 20 65.61 31.71
7.85 21 8.79 31.84
5.93 21 14.99 31.84
97.59 18 116.91 31.84
74.94 20 65.15 32.1
7.93 21 8.42 32.22
6.5 21 15.21 32.22
6.13 21 21.61 32.22
61.54 18 85.88 32.22
104.53 19 130.03 32.35
62.26 12 130.03 32.16
62.25 13 130.03 32.29
0.0 13 130.03 32.29
0.0 13 130.03 32.29
0.0 13 130.03 32.29
0.0 13 130.03 32.29
0.0 13 130.03 32.29
0.0 14 65.02 32.42
186.76 13 130.03 32.53
62.25 14 130.03 32.66
0.0 14 130.03 32.66
0.0 14 130.03 32.66
62.26 11 130.03 32.79
32.2 12 98.64 32.92
66.4 13 102.97 32.49
25.91 13 130.03 32.49
62.25 11 130.03 32.62
62.25 13 65.02 32.33
79.49 14 83.02 47.05
58.75 15 79.55 47.24
73.52 16 91.31 47.43
37.08 16 130.03 47.43
0.0 16 130.03 47.43
62.25 14 130.03 47.62
62.26 15 130.03 47.82
124.51 17 130.03 48.2
0.0 17 130.03 48.2
62.25 15 130.03 48.4
62.26 16 130.03 48.59
62.25 17 130.03 48.78
124.51 19 130.03 49.17
0.0 19 130.03 49.17
62.25 17 130.03 49.36
62.25 18 130.03 49.55
62.25 19 130.03 49.75
0.0 19 130.03 49.75
0.0 19 130.03 49.75
0.0 20 65.02 49.94
5.68 20 70.95 49.94
8.13 20 79.44 49.94
128.29 16 83.39 50.32
149.82 18 109.83 50.71
81.6 19 130.03 50.9
0.0 19 130.03 50.9
62.26 17 130.03 51.09
62.25 18 130.03 51.29
64.01 20 66.85 51.67
8.13 20 75.34 51.67
14.88 18 25.87 51.87
119.89 19 86.06 52.06
44.61 20 67.8 52.25
7.06 21 10.17 52.45
6.5 21 16.95 52.45
6.5 21 23.74 52.45
6.5 21 30.54 52.45
6.5 21 37.32 52.45
25.12 15 63.56 52.44
125.9 16 130.03 52.63
71.33 18 74.5 53.02
115.43 19 130.03 53.21
6.7 20 72.01 53.41
8.13 20 80.5 53.41
123.68 19 79.65 53.79
51.38 20 68.29 53.99
7.11 21 10.7 54.18
6.5 21 17.49 54.18
107.76 18 130.03 54.18
62.9 20 65.69 54.56
8.13 20 74.18 54.56
4.55 20 78.93 54.56
11.71 20 91.16 54.56
8.12 20 99.64 54.56
7.34 21 42.29 54.76
6.5 21 49.08 54.76
101.68 19 90.25 54.95
43.82 20 71.0 55.14
165.92 19 114.25 55.52
18.65 20 68.71 55.72
6.99 21 10.99 55.91
45.99 18 59.02 55.91
130.25 19 130.03 56.1
5.11 20 70.35 56.3
6.55 21 12.18 56.49
6.5 21 18.97 56.49
106.35 18 130.03 56.49
63.84 20 66.68 56.88
7.42 21 9.41 57.07
5.78 21 15.44 57.07
8.24 21 24.05 57.07
6.5 21 30.84 57.07
6.5 21 37.63 57.07
18.19 18 56.62 57.06
104.84 19 101.1 57.26
29.32 20 66.71 57.45
8.0 20 75.06 57.45
117.22 19 67.44 57.84
64.84 21 5.13 58.22
6.5 21 11.91 58.22
16.71 18 29.37 58.22
