time_micro,level0
83.537363,20
87.023756,21
104.695055,20
108.207048,21
133.44467,20
136.947638,21
171.572856,20
180.179901,21
212.65229,20
213.111242,20
216.631825,21
230.075809,22
262.816595,20
263.283967,20
268.956052,21
313.790702,20
314.7336,20
316.894301,20
318.913121,21
319.238771,21
330.115238,22
370.296244,20
371.113945,20
373.343708,20
375.329258,20
376.989353,21
377.923957,21
386.222967,22
399.901629,23
429.941126,20
432.252636,20
434.738533,20
435.96501,21
437.600066,21
439.952547,21
447.368198,22
462.522565,23
491.44559,20
493.272608,20
495.775254,20
498.761563,21
498.828754,21
501.640026,21
504.561009,21
509.506368,22
523.602012,23
556.376149,20
556.785044,20
559.596463,20
561.198372,21
562.541664,21
565.678763,21
568.548496,21
571.743362,21
571.776853,22
581.936312,23
597.043102,24
624.65584,20
626.733025,20
629.510854,21
629.586344,21
632.247606,21
635.109012,21
638.137539,21
639.747932,21
641.466394,22
643.15141,22
651.06702,23
664.77788,24
696.977274,20
697.244547,20
700.206583,20
702.483961,21
703.476976,21
706.513383,21
708.065443,21
711.119014,21
712.837592,22
714.489351,22
722.187806,23
735.799473,24
767.42283,20
769.325206,20
772.337156,20
773.405162,21
775.64915,21
778.593742,21
780.913093,21
784.275711,21
784.308899,22
787.462192,22
790.690458,22
793.176245,23
804.286032,24
843.99301,20
846.187654,20
848.51509,21
849.491263,21
852.4277,21
855.464281,21
858.951736,21
858.993489,22
862.046657,22
865.358291,22
867.777299,23
878.553485,24
919.802057,20
919.902934,20
922.43882,20
924.13243,21
925.709277,21
928.353782,21
931.348569,21
933.76822,22
934.727709,22
937.814256,22
941.017412,22
941.943282,23
943.545398,23
949.284313,24
960.568816,25
998.506151,20
998.840069,20
1001.784994,20
1003.945569,21
1004.946764,21
1008.026042,21
1011.337088,21
1013.01403,22
1014.974591,22
1018.311512,22
1021.773728,23
1021.865904,23
1025.186123,23
1029.916271,24
1040.709011,25
1077.737949,20
1079.247973,20
1082.652098,20
1082.685493,21
1085.688657,21
1087.515826,21
1090.635918,21
1092.237787,22
1094.065318,22
1097.360675,22
1101.006216,22
1101.04806,23
1104.452204,23
1108.005889,23
1109.057226,24
1111.918347,24
1118.85851,25
1132.612498,26
1165.762896,20
1166.00515,20
1168.808117,20
1171.118976,21
1172.086703,21
1175.056546,21
1178.15205,21
1181.763831,21
1181.805562,22
1185.242711,22
1188.554689,22
1189.640159,22
1190.582823,23
1193.327557,23
1196.923458,23
1198.00786,24
1209.459829,25
1250.03279,20
1253.069379,20
1255.196697,21
1256.43129,21
1259.793093,21
1263.180626,21
1266.05025,22
1266.893694,22
1270.463531,22
1274.092418,22
1275.202817,23
1278.422288,23
1282.117848,23
1284.537604,24
1295.646982,25
1336.14583,20
1337.79034,20
1340.192307,21
1341.285123,21
1342.311756,21
1345.790225,21
1349.269505,21
1350.504514,22
1353.373903,22
1356.894167,22
1358.429618,22
1359.439348,23
1362.209381,23
1365.671131,23
1368.582593,24
1369.792386,24
1377.833248,25
1391.586349,26
1425.221657,20
1427.107176,20
1430.076857,21
1430.919711,21
1434.37401,21
1435.308819,21
1438.854163,21
1441.765417,22
1442.683305,22
1446.012489,22
1447.489539,22
1450.876085,23
1451.385259,23
1454.939052,23
1459.035433,23
1459.068971,24
1462.964494,24
1467.376971,25
1478.34497,26
1517.757694,20
1518.617218,20
1521.646016,20
1522.463433,21
1524.999544,21
1528.144535,21
1531.506444,21
1532.267997,22
1534.879589,22
1538.308274,22
1540.535663,23
1541.987416,23
1545.458397,23
1549.153788,23
1549.187231,24
1552.524283,24
1557.370943,25
1568.413352,26
1607.243287,20
1608.653311,20
1612.007063,21
1612.24089,21
1614.485084,21
1618.139209,21
1621.759501,22
1621.993569,22
1625.505261,22
1628.96724,22
1630.627968,23
1632.921982,23
1636.583991,23
1639.520429,24
1640.629945,24
1644.417653,24
1648.1298,25
1659.122058,26
1699.052204,20
1699.261124,20
1702.631406,20
1704.383558,21
1706.352948,21
1710.081792,21
1713.935584,21
1713.985832,22
1717.414325,22
1720.918533,22
1722.879446,23
1724.747839,23
1728.334918,23
1731.83068,24
1732.18138,24
1734.334006,24
1738.004352,24
1739.889866,25
1742.050383,25
1751.667672,26
1768.707163,27
1798.356068,20
1801.918162,20
1805.680379,20
1809.176001,21
1809.576697,21
1813.338987,21
1817.009201,21
1820.855235,21
1821.948449,22
1825.101496,22
1829.197505,22
1832.167665,23
1833.594385,23
1836.414341,23
1841.135746,24
1841.219454,24
1848.293463,25
1859.427475,26
1897.956989,20
1899.383736,20
1902.428418,21
1902.970894,21
1906.650131,21
1910.111959,21
1913.098337,22
1913.899449,22
1917.51975,22
1921.215721,22
1922.317207,23
1923.969089,23
1927.805975,23
1930.85916,24
1931.843663,24
1935.481342,24
1939.40234,25
1950.562209,26
1990.750856,20
1991.226397,20
1993.028545,20
1994.647551,21
1996.591456,21
1998.894217,21
2002.331097,21
2003.916274,22
2006.04594,22
2009.607918,22
2012.769561,23
2013.220268,23
2016.882614,23
2020.837262,23
2020.87903,24
2023.690581,24
2027.410975,24
2028.713611,25
2031.824898,25
2038.639427,26
2052.309797,27
2086.360523,20
2086.43599,20
2090.189854,20
2090.231662,21
2093.644384,21
2097.256311,21
2100.993415,21
2102.578702,22
2104.739887,22
2107.930245,22
2111.980806,22
2112.022557,23
2115.710329,23
2119.581093,23
2121.074727,24
2123.401971,24
2127.39782,24
2129.367582,25
2140.018323,26
2181.067421,20
2182.810869,20
2186.347852,21
2186.431575,21
2189.960728,21
2193.74783,21
2196.6425,22
2197.602044,22
2201.256524,22
2204.309429,22
2206.211711,23
2208.755662,23
2212.993059,23
2215.19614,24
2217.173358,24
2223.045829,25
2234.439209,26
2272.119371,20
2274.65507,20
2278.259302,20
2278.292752,21
2281.371038,21
2284.741168,21
2288.17827,22
2288.345989,22
2291.991362,22
2294.469094,22
2297.321916,23
2298.54017,23
2302.536263,23
2305.989824,24
2306.590649,24
2310.962039,24
2313.607328,25
2324.266696,26
2364.922977,20
2368.143167,20
2371.071183,21
2371.939103,21
2375.585223,21
2379.163965,21
2382.083706,22
2383.185037,22
2387.039573,22
2391.268718,22
2391.302208,23
2395.915038,23
2400.361485,24
2400.453859,24
2404.457976,24
2407.278002,24
2409.17226,25
2411.525032,25
2418.973932,26
2432.826948,27
2468.128333,20
2470.923129,20
2473.926168,21
2474.512749,21
2478.183247,21
2481.603392,21
2485.00687,21
2486.52598,22
2487.969421,22
2491.748226,22
2495.802258,22
2495.835611,23
2497.980089,23
2501.709269,23
2504.470521,24
2505.655134,24
2509.809745,24
2512.30533,25
2523.081177,26
2563.987405,20
2566.790522,20
2569.827159,20
2570.953463,21
2573.373014,21
2576.801758,21
2580.530228,22
2580.705885,22
2583.767275,22
2587.513336,22
2589.206974,23
2591.5176,23
2595.313147,23
2598.33341,24
2599.376365,24
2606.175029,25
2617.058778,26
2656.113591,20
2658.716726,20
2661.778624,21
2662.354433,21
2665.716116,21
2669.144784,21
