time_micro,level0
750.620555,20
775.561756,20
799.781774,20
822.272691,20
844.667198,20
868.962285,20
893.015705,20
917.247032,20
942.385425,20
966.795286,20
991.122015,20
1016.400325,20
1040.835634,20
1065.353236,20
1090.172294,20
1117.175692,20
1142.137688,20
1167.526556,20
1194.878239,20
1220.036234,20
1247.089167,20
1272.493318,20
1297.275826,20
1324.452726,20
1348.700066,20
1375.509595,20
1402.372213,20
1429.265986,20
1454.411544,20
1479.616174,20
1507.576567,20
1532.161792,20
1559.333746,20
1586.690544,20
1613.565607,20
1640.92028,20
1666.288702,20
1693.447425,20
1720.5203,20
1747.576865,20
1774.780016,20
1801.763344,20
1828.720072,20
1855.827743,20
1883.467438,20
1908.693901,20
1936.049515,20
1962.983334,20
1990.466628,20
2017.818542,20
2043.016983,20
2070.104911,20
2097.247537,20
2124.680047,20
2151.817941,20
2179.387422,20
2206.654617,20
2234.554526,20
2262.187819,20
2289.226109,20
2316.471998,20
2343.584045,20
2370.954492,20
2398.403835,20
2425.822859,20
2453.39243,20
2480.824978,20
2508.525269,20
2535.810002,20
2563.292963,20
2590.722832,20
2618.710487,20
2645.647749,20
2673.065981,20
2700.442596,20
2727.995647,20
2755.491655,20
2783.107041,20
2810.550656,20
2837.844538,20
2864.913076,20
2892.523412,20
2920.032,20
2947.806873,20
2975.19965,20
3002.805289,20
3030.565855,20
3058.081481,20
3085.455414,20
3113.664867,20
3141.215367,20
3168.851874,20
3196.173089,20
3223.879849,20
3252.026684,20
3279.641566,20
3307.59765,20
3335.219258,20
3362.592246,20
3389.916502,20
3417.381937,20
3444.732657,20
3472.004387,20
3499.416401,20
3529.339453,20
3557.210429,20
3585.029933,20
