device,cpu,batch size,avg,max
NVMeSSD,2,64MB,382.56,699.67
NVMeSSD,20,64MB,505.27,1260.7
NVMeSSD,4,64MB,509.07,820.51
PM,2,64MB,592.92,910.38
PM,20,64MB,1601.27,3068.72
PM,4,64MB,1376.06,2619.44
SATAHDD,2,64MB,112.13,173.61
SATAHDD,20,64MB,112.67,202.42
SATAHDD,4,64MB,120.31,170.49
SATASSD,2,64MB,210.04,403.79
SATASSD,20,64MB,190.33,509.21
SATASSD,4,64MB,189.89,493.25
