device,cpu,batch size,avg,max
NVMeSSD,1CPU,64MB,635.4433897648895,1083.6423072814941
PM,1CPU,64MB,804.9302283692732,1658.8339414596558
SATAHDD,1CPU,64MB,111.82834420130662,1195.4171113967896
SATASSD,1CPU,64MB,342.30153991969553,1317.199200630188
