device,cpu,batch size,avg,max
NVMeSSD,2CPU,64MB,377.44400897788734,872.7978630065918
PM,2CPU,64MB,426.7567212641985,3002.341923713684
SATAHDD,2CPU,64MB,155.61185698862135,353.3608226776123
SATASSD,2CPU,64MB,238.3627335888582,645.7518444061279
