,device,thread number,batch size,latency type,latency
105,SATAHDD,4,64MB,Average,2.8897
93,SATAHDD,20,64MB,Average,3.1118
83,SATAHDD,1,64MB,Max,2857.0
107,SATAHDD,4,64MB,Max,41681.0
95,SATAHDD,20,64MB,Max,9427.0
82,SATAHDD,1,64MB,P99,9.65
106,SATAHDD,4,64MB,P99,9.68
94,SATAHDD,20,64MB,P99,9.71
117,SATASSD,1,64MB,Average,2.7479
141,SATASSD,4,64MB,Average,2.7255
129,SATASSD,20,64MB,Average,2.7071
119,SATASSD,1,64MB,Max,2792.0
143,SATASSD,4,64MB,Max,9379.0
131,SATASSD,20,64MB,Max,9370.0
118,SATASSD,1,64MB,P99,9.58
142,SATASSD,4,64MB,P99,9.56
130,SATASSD,20,64MB,P99,9.53
