secs,user_cpu,sys_cpu,io_wait,cpu_percent,cpu_num,rss,vms,dirty,read_count,write_count,disk_read_bytes,disk_write_bytes,syscall_read_bytes,syscall_write_bytes,num_threads
47, 40.04, 3.74, 0.44, 101.0, 10, 271994880, 739844096, 0, 160, 1843661, 26460160, 240250880, 210461, 240008756, 7
48, 40.97, 3.81, 0.44, 100.0, 10, 277671936, 739844096, 0, 160, 1885468, 26460160, 245686272, 210461, 245444577, 7
49, 41.8, 3.89, 0.44, 91.0, 10, 282537984, 748236800, 0, 164, 1921636, 26460160, 250417152, 221115, 250163386, 7
50, 42.73, 3.97, 0.44, 101.0, 10, 287944704, 748236800, 0, 164, 1963377, 26460160, 255844352, 221115, 255590613, 7
51, 43.64, 4.06, 0.44, 100.0, 10, 293351424, 756629504, 0, 164, 2005183, 26460160, 261279744, 221115, 261026229, 7
52, 44.47, 4.14, 0.44, 91.0, 10, 298217472, 765022208, 0, 168, 2041200, 26460160, 265986048, 231769, 265725476, 7
53, 45.39, 4.22, 0.44, 100.0, 10, 303624192, 765022208, 0, 168, 2081781, 26460160, 271261696, 231769, 271001875, 7
54, 46.31, 4.3, 0.44, 100.0, 10, 309030912, 773414912, 0, 168, 2122947, 26460160, 276615168, 231769, 276354270, 7
55, 47.23, 4.37, 0.44, 99.0, 10, 314437632, 781807616, 0, 168, 2163382, 26460160, 281878528, 231769, 281617137, 7
56, 48.08, 4.45, 0.44, 93.0, 10, 319303680, 781807616, 0, 172, 2200992, 26460160, 286789632, 242423, 286518245, 7
57, 48.98, 4.54, 0.44, 99.0, 10, 324710400, 790200320, 0, 172, 2241881, 26460160, 292106240, 242423, 291834691, 7
58, 49.89, 4.62, 0.44, 99.0, 10, 330117120, 790200320, 0, 172, 2282132, 26525696, 297340928, 242423, 297068190, 7
59, 50.74, 4.68, 0.44, 91.0, 10, 334983168, 798593024, 0, 176, 2318641, 26525696, 302112768, 253077, 301831337, 7
60, 51.64, 4.78, 0.44, 100.0, 10, 340389888, 806985728, 0, 176, 2359601, 26525696, 307437568, 253077, 307157013, 7
61, 52.6, 4.82, 0.44, 100.0, 10, 345796608, 806985728, 0, 176, 2400587, 26525696, 312766464, 253077, 312486008, 7
62, 53.44, 4.89, 0.44, 91.0, 10, 350662656, 815378432, 0, 180, 2436815, 26525696, 317501440, 263731, 317212693, 7
63, 54.36, 4.97, 0.44, 100.0, 10, 356069376, 823771136, 0, 180, 2477667, 26525696, 322813952, 263731, 322524336, 7
64, 55.2, 5.02, 0.44, 89.0, 10, 360394752, 823771136, 0, 184, 2511201, 26525696, 327200768, 274385, 326900642, 7
65, 56.09, 5.13, 0.44, 100.0, 10, 365801472, 832163840, 0, 184, 2552484, 26525696, 332570624, 274385, 332268329, 7
66, 56.99, 5.23, 0.44, 100.0, 10, 371208192, 832163840, 0, 184, 2593651, 26525696, 337924096, 274385, 337620929, 7
67, 57.83, 5.3, 0.44, 91.0, 10, 376074240, 840556544, 0, 188, 2629728, 26525696, 342638592, 285039, 342327902, 7
68, 58.74, 5.39, 0.44, 100.0, 10, 381480960, 848949248, 0, 188, 2670636, 26525696, 347955200, 285039, 347646818, 7
69, 59.61, 5.48, 0.44, 96.0, 10, 386617344, 848949248, 0, 188, 2710547, 26525696, 353157120, 285039, 352836035, 7
70, 60.45, 5.56, 0.44, 92.0, 10, 391483392, 857341952, 0, 192, 2746897, 26525696, 357912576, 295693, 357578580, 7
71, 61.37, 5.64, 0.44, 100.0, 10, 396890112, 857341952, 0, 192, 2788113, 26525696, 363270144, 295693, 362937557, 7
72, 62.3, 5.71, 0.44, 100.0, 10, 402567168, 865734656, 0, 192, 2829227, 26525696, 368615424, 295693, 368283185, 7
73, 63.14, 5.77, 0.44, 90.0, 10, 406892544, 874127360, 0, 196, 2862690, 26562560, 372989952, 306347, 372650336, 7
74, 64.07, 5.84, 0.44, 100.0, 10, 412299264, 874127360, 0, 196, 2903758, 26562560, 378331136, 306347, 377989991, 7
75, 65.03, 5.88, 0.44, 100.0, 10, 417705984, 882520064, 0, 196, 2944962, 26562560, 383688704, 306347, 383347408, 7
76, 65.93, 5.94, 0.44, 96.0, 10, 422842368, 890912768, 0, 198, 2983879, 26562560, 388767744, 311674, 388414388, 7
77, 66.79, 6.02, 0.44, 94.0, 10, 427708416, 890912768, 0, 200, 3020413, 26562560, 393531392, 317001, 393174079, 7
78, 67.69, 6.13, 0.44, 101.0, 10, 433115136, 899305472, 0, 200, 3061343, 26562560, 398852096, 317001, 398495869, 7
79, 68.61, 6.21, 0.44, 100.0, 10, 438251520, 899305472, 0, 200, 3099291, 26562560, 403783680, 317001, 403429908, 7
80, 69.42, 6.3, 0.44, 90.0, 10, 442847232, 907698176, 0, 204, 3135217, 26562560, 408485888, 327655, 408117244, 7
81, 70.33, 6.39, 0.44, 100.0, 10, 448253952, 916090880, 0, 204, 3176120, 26562560, 413802496, 327655, 413435517, 7
82, 71.25, 6.47, 0.44, 100.0, 10, 453660672, 916090880, 0, 204, 3217085, 26562560, 419127296, 327655, 418761782, 7
83, 72.07, 6.55, 0.44, 90.0, 10, 458526720, 924483584, 0, 208, 3252690, 26562560, 423780352, 338309, 423407456, 7
84, 72.98, 6.64, 0.44, 100.0, 10, 463663104, 924483584, 0, 208, 3292829, 26562560, 429002752, 338309, 428626381, 7
85, 73.82, 6.71, 0.44, 91.0, 10, 468529152, 932876288, 0, 212, 3327995, 26562560, 433602560, 348963, 433214903, 7
