device,cpu,batch size,avg,max
NVMeSSD,2CPU,64MB,390.73,869.9
PM,2CPU,64MB,464.06,3126.39
SATAHDD,2CPU,64MB,155.77,202.49
SATASSD,2CPU,64MB,230.76,514.93
