device,cpu,batch size,avg,max
NVMeSSD,1CPU,64MB,548.38,848.61
NVMeSSD,20CPU,64MB,552.99,726.08
NVMeSSD,4CPU,64MB,333.26,1088.95
PM,1CPU,64MB,756.88,1368.2
PM,20CPU,64MB,1219.46,2806.8
PM,4CPU,64MB,1238.57,2573.27
SATAHDD,1CPU,64MB,164.95,218.08
SATAHDD,20CPU,64MB,141.23,192.34
SATAHDD,4CPU,64MB,167.14,218.87
SATASSD,1CPU,64MB,279.65,509.74
SATASSD,20CPU,64MB,218.79,505.74
SATASSD,4CPU,64MB,196.79,488.77
