device,cpu,batch size,avg,max
NVMeSSD,12CPU,128MB,293.4045399958229,419.23046875
NVMeSSD,12CPU,64MB,286.02650832811196,353.796875
PM,12CPU,128MB,332.77899827694233,451.54296875
PM,12CPU,64MB,342.05260547201334,399.046875
SATAHDD,12CPU,128MB,141.70862316945608,322.921875
SATAHDD,12CPU,64MB,127.5647620292887,233.73046875
SATASSD,12CPU,128MB,212.12442938752088,376.09765625
SATASSD,12CPU,64MB,191.33941008451586,292.2890625
