secs_elapsed,interval_qps,num_compaction,num_flushes,lsm_shape
,131,44185,64,1+1131,44184,64,1+1
,132,42058,64,1+1132,42058,64,1+1
,133,41756,64,1+1133,41756,64,1+1
,134,41414,64,1+1134,41413,64,1+1
,135,41089,64,1+1135,41088,64,1+1
,136,40786,64,1+1136,40786,64,1+1
,137,40482,64,1+1137,40481,64,1+1
,138,40643,64,1+1138,40642,64,1+1
,139,40472,64,1+1139,40471,64,1+1
,140,40348,64,1+1140,40348,64,1+1
,141,39234,64,1+1141,39234,64,1+1
,142,43598,64,1+1142,43597,64,1+1
,143,42727,64,1+1143,42726,64,1+1
,144,41823,64,1+1144,41823,64,1+1
,145,41376,64,1+1145,41375,64,1+1
,146,41732,64,1+1146,41732,64,1+1
,147,41330,64,1+1147,41330,64,1+1
,148,40775,64,1+1148,40774,64,1+1
,149,41253,64,1+1149,41253,64,1+1
,150,40921,64,1+1150,40921,64,1+1
,151,40332,64,1+1151,40332,64,1+1
,152,40371,64,1+1152,40370,64,1+1
,153,39332,64,1+1153,39332,64,1+1
,154,43999,64,1+1154,43999,64,1+1
,155,42781,64,1+1155,42781,64,1+1
,156,42631,64,1+1156,42631,64,1+1
,157,41997,64,1+1157,41997,64,1+1
,158,41385,64,1+1158,41384,64,1+1
,159,41188,64,1+1159,41188,64,1+1
,160,41187,64,1+1160,41187,64,1+1
,161,41219,64,1+1161,41219,64,1+1
,162,42109,64,1+1162,42108,64,1+1
,163,41379,64,1+1163,41379,64,1+1
,164,40920,64,1+1164,40919,64,1+1
,165,41350,64,1+1165,41349,64,1+1
,166,44341,64,1+1166,44340,64,1+1
,167,43270,64,1+1167,43270,64,1+1
,168,43080,64,1+1168,43079,64,1+1
,169,42876,64,1+1169,42875,64,1+1
,170,42216,64,1+1170,42216,64,1+1
,171,41984,64,1+1171,41983,64,1+1
,172,41732,64,1+1172,41731,64,1+1
,173,41554,64,1+1173,41553,64,1+1
,174,41033,64,1+1174,41033,64,1+1
,175,41064,64,1+1175,41064,64,1+1
,176,39762,64,1+1176,39762,64,1+1
,177,42933,64,1+1177,42932,64,1+1
,178,44360,64,1+1178,44360,64,1+1
,179,42440,64,1+1179,42439,64,1+1
,180,41389,64,1+1180,41388,64,1+1
,181,42065,64,1+1181,42065,64,1+1
,182,41761,64,1+1182,41760,64,1+1
,183,41360,64,1+1183,41359,64,1+1
,184,41280,64,1+1184,41279,64,1+1
,185,41351,64,1+1185,41350,64,1+1
,186,41089,64,1+1186,41089,64,1+1
,187,40954,64,1+1187,40954,64,1+1
,188,39990,64,1+1188,39989,64,1+1
,189,44159,64,1+1189,44159,64,1+1
,190,43855,64,1+1190,43854,64,1+1
,191,43280,64,1+1191,43279,64,1+1
,192,42739,64,1+1192,42738,64,1+1
,193,42612,64,1+1193,42611,64,1+1
,194,42065,64,1+1194,42064,64,1+1
,195,41861,64,1+1195,41860,64,1+1
,196,41598,64,1+1196,41598,64,1+1
,197,41530,64,1+1197,41530,64,1+1
,198,41350,64,1+1198,41349,64,1+1
,199,41121,64,1+1199,41121,64,1+1
,200,37380,64,1+1200,37379,64,1+1
,201,44789,64,1+1201,44788,64,1+1
,202,43021,64,1+1202,43020,64,1+1
,203,42466,64,1+1203,42465,64,1+1
,204,42116,64,1+1204,42115,64,1+1
,205,42075,64,1+1205,42075,64,1+1
,206,41522,64,1+1206,41521,64,1+1
,207,41459,64,1+1207,41458,64,1+1
,208,41275,64,1+1208,41275,64,1+1
,209,40698,64,1+1209,40697,64,1+1
,210,40546,64,1+1210,40545,64,1+1
,211,39368,64,1+1211,39367,64,1+1
,212,40675,64,1+1212,40674,64,1+1
,213,44165,64,1+1213,44164,64,1+1
,214,43391,64,1+1214,43390,64,1+1
,215,42750,64,1+1215,42750,64,1+1
,216,42463,64,1+1216,42462,64,1+1
,217,41718,64,1+1217,41718,64,1+1
