secs,user_cpu,sys_cpu,io_wait,cpu_percent,cpu_num,rss,vms,dirty,read_count,write_count,disk_read_bytes,disk_write_bytes,syscall_read_bytes,syscall_write_bytes,num_threads
1, 0.06, 0.05, 0.56, 0.0, 11, 28303360, 429346816, 0, 100, 156, 24518656, 135168, 50672, 73547, 7
2, 0.97, 0.14, 0.56, 99.9, 11, 33980416, 496455680, 0, 100, 44179, 24518656, 5857280, 50672, 5795080, 7
3, 1.89, 0.22, 0.56, 100.0, 11, 39657472, 504848384, 0, 100, 87618, 24518656, 11501568, 50672, 11442472, 7
4, 2.82, 0.28, 0.56, 99.0, 11, 45604864, 513241088, 0, 100, 131468, 24518656, 17203200, 50672, 17143533, 7
5, 3.73, 0.38, 0.56, 101.0, 11, 51281920, 513241088, 0, 100, 175152, 24518656, 22888448, 50672, 22823091, 7
6, 4.67, 0.43, 0.56, 99.0, 11, 56958976, 521633792, 0, 100, 217502, 24518656, 28401664, 50672, 28329187, 7
7, 5.57, 0.52, 0.56, 99.0, 11, 62636032, 530026496, 0, 100, 260172, 24518656, 33947648, 50672, 33876897, 7
8, 6.49, 0.61, 0.56, 101.0, 11, 68042752, 530026496, 0, 100, 302473, 24518656, 39448576, 50672, 39376630, 7
9, 7.42, 0.68, 0.56, 100.0, 11, 73719808, 538419200, 0, 100, 344822, 24518656, 44953600, 50672, 44882672, 7
10, 8.33, 0.76, 0.56, 99.0, 11, 79396864, 546811904, 0, 100, 386518, 24518656, 50376704, 50672, 50303741, 7
11, 9.24, 0.86, 0.56, 101.0, 11, 84803584, 546811904, 0, 100, 428286, 24518656, 55808000, 50672, 55734172, 7
12, 10.17, 0.93, 0.56, 100.0, 11, 90210304, 555204608, 0, 100, 468842, 24518656, 61079552, 50672, 61006994, 7
13, 11.51, 1.02, 0.56, 142.9, 11, 98893824, 565706752, 0, 101, 512166, 24522752, 89714688, 50677, 89639521, 7
14, 13.03, 1.12, 0.56, 161.9, 11, 104296448, 571990016, 0, 106, 556514, 24526848, 129384448, 933462, 129299582, 7
15, 13.96, 1.2, 0.56, 101.0, 11, 44957696, 504848384, 0, 106, 600039, 24526848, 135045120, 933462, 134959996, 7
16, 14.89, 1.27, 0.56, 100.0, 11, 49823744, 504848384, 0, 106, 642930, 24526848, 140623872, 933462, 140536445, 7
17, 15.81, 1.35, 0.56, 100.0, 11, 55500800, 504848384, 0, 106, 685393, 24526848, 146145280, 933462, 146057316, 7
18, 16.75, 1.41, 0.56, 100.0, 11, 61177856, 504848384, 0, 106, 727545, 24526848, 151625728, 933462, 151537674, 7
19, 17.68, 1.48, 0.56, 100.0, 11, 66584576, 504848384, 0, 106, 768473, 24526848, 156946432, 933462, 156858960, 7
20, 18.57, 1.6, 0.56, 101.0, 11, 71991296, 504848384, 0, 106, 809471, 24526848, 162275328, 933462, 162189256, 7
21, 19.49, 1.67, 0.56, 99.0, 11, 77398016, 504848384, 0, 106, 850199, 24526848, 167571456, 933462, 167484535, 7
22, 20.42, 1.74, 0.56, 100.0, 11, 82804736, 504848384, 0, 106, 890756, 24526848, 172843008, 933462, 172757577, 7
23, 21.36, 1.8, 0.56, 100.0, 11, 87941120, 504848384, 0, 106, 931006, 24526848, 178077696, 933462, 177990612, 7
24, 22.24, 1.92, 0.56, 100.0, 11, 93347840, 504848384, 0, 106, 970476, 24526848, 183209984, 933462, 183122316, 7
25, 23.79, 2.05, 0.56, 167.9, 11, 102535168, 504848384, 0, 107, 1013558, 24526848, 226451456, 933467, 226359067, 7
26, 25.03, 2.16, 0.56, 134.9, 11, 90976256, 488062976, 0, 112, 1056612, 24530944, 251310080, 1816177, 251214002, 7
27, 25.95, 2.25, 0.56, 101.0, 11, 90976256, 488062976, 0, 112, 1099058, 24530944, 256827392, 1816177, 256732670, 7
28, 26.9, 2.3, 0.56, 100.0, 11, 90976256, 488062976, 0, 112, 1141517, 24530944, 262348800, 1816177, 262252939, 7
29, 27.85, 2.34, 0.56, 99.0, 11, 90976256, 488062976, 0, 112, 1183840, 24530944, 267849728, 1816177, 267755610, 7
30, 28.77, 2.43, 0.56, 101.0, 11, 90976256, 488062976, 0, 112, 1225699, 24530944, 273293312, 1816177, 273197872, 7
31, 29.71, 2.5, 0.56, 101.0, 11, 90976256, 488062976, 0, 112, 1267660, 24530944, 278749184, 1816177, 278653469, 7
32, 30.6, 2.6, 0.56, 99.0, 11, 90976256, 488062976, 0, 112, 1309404, 24530944, 284176384, 1816177, 284080774, 7
33, 31.54, 2.67, 0.56, 101.0, 11, 90976256, 488062976, 0, 112, 1351155, 24530944, 289603584, 1816177, 289509071, 7
34, 32.46, 2.74, 0.56, 99.0, 11, 90976256, 488062976, 0, 112, 1392709, 24530944, 295006208, 1816177, 294911744, 7
35, 33.39, 2.82, 0.56, 101.0, 11, 93949952, 555171840, 0, 112, 1433897, 24530944, 300359680, 1816177, 300266755, 7
36, 34.32, 2.89, 0.56, 100.0, 11, 99356672, 555171840, 0, 112, 1474253, 24530944, 305610752, 1816177, 305513660, 7
37, 36.15, 3.03, 0.56, 196.9, 11, 105840640, 555171840, 0, 113, 1518664, 24530944, 365756416, 1816182, 365649963, 7
38, 37.11, 3.14, 0.56, 107.0, 11, 108544000, 555171840, 0, 118, 1562304, 24535040, 373968896, 2698912, 373858431, 7
39, 38.04, 3.21, 0.56, 100.0, 11, 108544000, 555171840, 0, 118, 1605159, 24535040, 379539456, 2698912, 379430194, 7
40, 38.95, 3.29, 0.56, 99.0, 11, 108544000, 555171840, 0, 118, 1647223, 24535040, 385011712, 2698912, 384899188, 7
41, 39.89, 3.36, 0.56, 101.0, 11, 110706688, 555171840, 0, 118, 1689542, 24535040, 390512640, 2698912, 390401339, 7
42, 40.81, 3.44, 0.56, 100.0, 11, 110706688, 555171840, 0, 118, 1731682, 24535040, 395988992, 2698912, 395880131, 7
43, 41.75, 3.5, 0.56, 100.0, 11, 110706688, 555171840, 0, 118, 1773654, 24535040, 401448960, 2698912, 401337158, 7
44, 42.69, 3.56, 0.56, 100.0, 11, 110706688, 555171840, 0, 118, 1815241, 24535040, 406855680, 2698912, 406744053, 7
45, 43.63, 3.62, 0.56, 100.0, 11, 110706688, 555171840, 0, 118, 1856566, 24535040, 412229632, 2698912, 412116949, 7
46, 44.53, 3.71, 0.56, 99.0, 11, 110706688, 555171840, 0, 118, 1897751, 24535040, 417583104, 2698912, 417471652, 7
47, 45.46, 3.79, 0.56, 101.0, 11, 110706688, 555171840, 0, 118, 1938793, 24535040, 422920192, 2698912, 422807683, 7
48, 46.72, 3.83, 0.56, 130.0, 11, 112599040, 555171840, 0, 119, 1980830, 24535040, 444071936, 2698917, 443954482, 7
49, 48.42, 3.94, 0.56, 180.9, 11, 119087104, 555171840, 0, 119, 2024940, 24539136, 491016192, 2698917, 490898345, 7
50, 50.13, 4.06, 0.56, 182.9, 11, 128061440, 555171840, 0, 5325, 2067506, 24539136, 516448256, 24337192, 516326567, 7
51, 51.99, 4.2, 0.56, 199.9, 11, 133468160, 555171840, 0, 11703, 2110233, 24539136, 547139584, 49789629, 547015119, 7
52, 53.81, 4.27, 0.56, 188.9, 11, 136441856, 555171840, 0, 17005, 2152433, 24539136, 575762432, 70948350, 575641428, 7
53, 55.49, 4.33, 0.56, 173.9, 11, 136441856, 555171840, 0, 21603, 2193867, 24543232, 598962176, 89297334, 598835031, 7
54, 57.35, 4.46, 0.56, 198.9, 11, 136441856, 555171840, 0, 27834, 2234835, 24543232, 629415936, 114163028, 629287249, 7
55, 59.26, 4.55, 0.56, 199.9, 11, 136441856, 555171840, 0, 33885, 2275782, 24543232, 658825216, 138310796, 658697950, 7
56, 60.79, 4.66, 0.56, 163.9, 11, 136441856, 555171840, 0, 37819, 2316591, 24547328, 679940096, 154010213, 679812323, 7
57, 62.7, 4.74, 0.56, 198.9, 11, 136441856, 555171840, 0, 44150, 2357416, 24547328, 710385664, 179275158, 710252162, 7
58, 64.61, 4.84, 0.56, 200.9, 11, 136441856, 555171840, 0, 50510, 2394669, 24547328, 741408768, 204655518, 741278537, 7
59, 66.17, 4.91, 0.56, 162.9, 11, 136441856, 555171840, 0, 54224, 2435238, 24551424, 762499072, 219476884, 762358482, 7
60, 67.78, 5.08, 0.56, 177.9, 11, 136441856, 555171840, 0, 56294, 2478666, 24551424, 799797248, 231181131, 799644225, 7
