secs,user_cpu,sys_cpu,io_wait,cpu_percent,cpu_num,rss,vms,dirty,read_count,write_count,disk_read_bytes,disk_write_bytes,syscall_read_bytes,syscall_write_bytes,num_threads
47, 41.45, 5.09, 0.17, 98.0, 2, 256786432, 723058688, 0, 159, 1726292, 23945216, 224997376, 210489, 224753877, 7
48, 42.39, 5.16, 0.17, 101.0, 2, 261652480, 723058688, 0, 159, 1762745, 23945216, 229736448, 210489, 229493524, 7
49, 43.24, 5.29, 0.17, 98.0, 2, 266248192, 731451392, 0, 163, 1798445, 23945216, 234405888, 221145, 234151549, 7
50, 44.18, 5.35, 0.17, 100.0, 2, 271384576, 731451392, 0, 163, 1836961, 23945216, 239411200, 221145, 239159374, 7
51, 45.09, 5.44, 0.17, 100.0, 2, 276520960, 739844096, 0, 163, 1874865, 23945216, 244342784, 221145, 244087693, 7
52, 45.94, 5.57, 0.17, 98.0, 2, 280846336, 748236800, 0, 167, 1909056, 23945216, 248811520, 231801, 248549438, 7
53, 46.84, 5.67, 0.17, 100.0, 2, 285982720, 748236800, 0, 167, 1946817, 23945216, 253718528, 231801, 253459160, 7
54, 47.74, 5.77, 0.17, 100.0, 2, 291119104, 756629504, 0, 167, 1985318, 23945216, 258723840, 231801, 258465103, 7
55, 48.59, 5.9, 0.17, 98.0, 2, 295714816, 756629504, 0, 171, 2019837, 23945216, 263241728, 242457, 262969495, 7
56, 49.52, 5.97, 0.17, 100.0, 2, 300580864, 765022208, 0, 171, 2058260, 23945216, 268238848, 242457, 267965305, 7
57, 50.43, 6.06, 0.17, 100.0, 2, 305717248, 773414912, 0, 171, 2096477, 23945216, 273207296, 242457, 272934321, 7
58, 51.33, 6.15, 0.17, 99.0, 2, 310583296, 773414912, 0, 173, 2134114, 23945216, 278110208, 247785, 277833297, 7
59, 52.2, 6.27, 0.17, 99.0, 2, 315449344, 781807616, 0, 175, 2169500, 23945216, 282730496, 253113, 282445298, 7
60, 53.09, 6.39, 0.17, 101.0, 2, 320315392, 781807616, 0, 175, 2207545, 23945216, 287674368, 253113, 287391872, 7
61, 54.02, 6.45, 0.17, 99.0, 2, 325451776, 790200320, 0, 175, 2245794, 23945216, 292646912, 253113, 292365055, 7
62, 54.87, 6.57, 0.17, 97.0, 2, 330047488, 790200320, 0, 179, 2279703, 24010752, 297082880, 263769, 296790202, 7
63, 55.76, 6.68, 0.17, 100.0, 2, 334913536, 798593024, 0, 179, 2317154, 24010752, 301948928, 263769, 301659549, 7
64, 56.61, 6.8, 0.17, 97.0, 2, 339238912, 806985728, 0, 183, 2349873, 24010752, 306233344, 274425, 305929968, 7
65, 57.5, 6.92, 0.17, 101.0, 2, 343834624, 806985728, 0, 183, 2384747, 24010752, 310767616, 274425, 310464303, 7
66, 58.41, 7.0, 0.17, 99.0, 2, 348430336, 815378432, 0, 183, 2418528, 24010752, 315158528, 274425, 314856438, 7
67, 59.23, 7.14, 0.17, 96.0, 2, 352755712, 815378432, 0, 187, 2451708, 24010752, 319500288, 285081, 319186801, 7
68, 60.16, 7.21, 0.17, 100.0, 2, 357621760, 823771136, 0, 187, 2489858, 24010752, 324464640, 285081, 324147107, 7
69, 61.08, 7.29, 0.17, 100.0, 2, 362758144, 823771136, 0, 187, 2527185, 24010752, 329318400, 285081, 329000327, 7
70, 61.93, 7.42, 0.17, 98.0, 2, 367353856, 832163840, 0, 191, 2562323, 24010752, 333914112, 295737, 333585286, 7
71, 62.88, 7.47, 0.17, 100.0, 2, 371949568, 832163840, 0, 191, 2598187, 24010752, 338579456, 295737, 338248349, 7
72, 63.83, 7.53, 0.17, 101.0, 2, 377085952, 840556544, 0, 191, 2635385, 24010752, 343412736, 295737, 343084785, 7
73, 64.7, 7.65, 0.17, 99.0, 2, 381411328, 848949248, 0, 195, 2669153, 24010752, 347828224, 306393, 347491602, 7
74, 65.59, 7.75, 0.17, 99.0, 2, 386277376, 848949248, 0, 195, 2706164, 24010752, 352645120, 306393, 352303735, 7
