secs,user_cpu,sys_cpu,io_wait,cpu_percent,cpu_num,rss,vms,dirty,read_count,write_count,disk_read_bytes,disk_write_bytes,syscall_read_bytes,syscall_write_bytes,num_threads
1, 0.33, 0.54, 0.16, 0.0, 11, 30539776, 429346816, 0, 99, 15014, 24301568, 2064384, 50669, 2004010, 7
2, 1.26, 0.61, 0.16, 100.0, 11, 36216832, 496455680, 0, 99, 58427, 24301568, 7708672, 50669, 7647791, 7
3, 2.17, 0.7, 0.16, 100.0, 11, 41893888, 504848384, 0, 99, 101581, 24301568, 13316096, 50669, 13258120, 7
4, 3.1, 0.77, 0.16, 100.0, 11, 47570944, 513241088, 0, 99, 144333, 24301568, 18874368, 50669, 18816573, 7
5, 4.01, 0.86, 0.16, 100.0, 11, 53248000, 513241088, 0, 99, 186637, 24301568, 24375296, 50669, 24316689, 7
6, 4.91, 0.95, 0.16, 99.0, 11, 58654720, 521633792, 0, 99, 227802, 24301568, 29741056, 50669, 29668707, 7
7, 5.79, 1.06, 0.16, 99.0, 11, 64061440, 530026496, 0, 99, 269158, 24301568, 35119104, 50669, 35045562, 7
8, 6.7, 1.15, 0.16, 100.0, 11, 69468160, 530026496, 0, 99, 310148, 24301568, 40448000, 50669, 40374823, 7
9, 7.62, 1.24, 0.16, 101.0, 11, 74874880, 538419200, 0, 99, 351024, 24301568, 45760512, 50669, 45689264, 7
10, 8.52, 1.33, 0.16, 99.0, 11, 80281600, 546811904, 0, 99, 391767, 24301568, 51056640, 50669, 50986491, 7
11, 9.41, 1.43, 0.16, 99.0, 11, 85688320, 546811904, 0, 99, 431596, 24301568, 56238080, 50669, 56164796, 7
12, 10.3, 1.55, 0.16, 101.0, 11, 90824704, 555204608, 0, 99, 470415, 24301568, 61284352, 50669, 61211766, 7
13, 11.62, 1.65, 0.16, 141.9, 11, 99237888, 565706752, 0, 100, 511416, 24305664, 89620480, 50674, 89542219, 7
14, 13.13, 1.78, 0.16, 163.9, 11, 39342080, 496455680, 0, 105, 554539, 24309760, 129134592, 933452, 129045239, 7
15, 14.05, 1.86, 0.16, 100.0, 11, 44208128, 496455680, 0, 105, 597512, 24309760, 134721536, 933452, 134632424, 7
16, 15.0, 1.92, 0.16, 101.0, 11, 49885184, 496455680, 0, 105, 639708, 24309760, 140206080, 933452, 140118509, 7
17, 15.92, 2.0, 0.16, 100.0, 11, 55291904, 496455680, 0, 105, 681490, 24309760, 145641472, 933452, 145550822, 7
18, 16.84, 2.07, 0.16, 99.0, 11, 60698624, 496455680, 0, 105, 722723, 24309760, 150999040, 933452, 150911689, 7
19, 17.75, 2.17, 0.16, 101.0, 11, 66375680, 496455680, 0, 105, 764179, 24309760, 156389376, 933452, 156301622, 7
20, 18.66, 2.25, 0.16, 99.0, 11, 71782400, 496455680, 0, 105, 804903, 24309760, 161685504, 933452, 161596298, 7
21, 19.59, 2.33, 0.16, 101.0, 11, 77189120, 496455680, 0, 105, 845721, 24309760, 166993920, 933452, 166903277, 7
22, 20.48, 2.43, 0.16, 99.0, 11, 82325504, 496455680, 0, 105, 886479, 24309760, 172290048, 933452, 172202456, 7
23, 21.41, 2.51, 0.16, 101.0, 11, 87732224, 496455680, 0, 105, 927199, 24309760, 177586176, 933452, 177496605, 7
24, 22.33, 2.56, 0.16, 97.0, 11, 92868608, 496455680, 0, 105, 965807, 24309760, 182603776, 933452, 182516221, 7
25, 23.76, 2.69, 0.16, 155.9, 11, 101785600, 563564544, 0, 106, 1008928, 24309760, 217489408, 933457, 217394644, 7
26, 25.2, 2.78, 0.16, 152.9, 11, 99696640, 555171840, 0, 111, 1052538, 24313856, 250785792, 1816175, 250686812, 7
27, 26.1, 2.87, 0.16, 99.0, 11, 99696640, 555171840, 0, 111, 1095816, 24313856, 256413696, 1816175, 256313661, 7
28, 27.04, 2.93, 0.16, 100.0, 11, 99696640, 555171840, 0, 111, 1138054, 24313856, 261902336, 1816175, 261805200, 7
29, 27.92, 3.05, 0.16, 100.0, 11, 99696640, 555171840, 0, 111, 1180978, 24313856, 267485184, 1816175, 267386015, 7
30, 28.85, 3.12, 0.16, 100.0, 11, 99696640, 555171840, 0, 111, 1223533, 24313856, 273018880, 1816175, 272918771, 7
31, 29.75, 3.21, 0.16, 99.0, 11, 99696640, 555171840, 0, 111, 1265046, 24313856, 278413312, 1816175, 278316114, 7
32, 30.7, 3.25, 0.16, 99.0, 11, 99696640, 555171840, 0, 111, 1305762, 24313856, 283709440, 1816175, 283609758, 7
33, 31.63, 3.32, 0.16, 100.0, 11, 99696640, 555171840, 0, 111, 1347385, 24313856, 289120256, 1816175, 289021408, 7
34, 32.53, 3.42, 0.16, 100.0, 11, 99696640, 555171840, 0, 111, 1389213, 24313856, 294555648, 1816175, 294459708, 7
